,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,Class
10,-1.2,-1.0,-0.1,1.2,-1.4,0.3,1.2,3.2,3.5,3.3,5.9,4.9,5.8,3.5,2.0,3.3,-0.1,1.2,-1.9,0.2,0.3,-2.4,-0.5,-1.3,-0.7,0.6,1.0,-1.8,-0.5,0.7,-0.4,0.4,0.3,0.3,-0.7,0.0,2.1,1.5,0.0,-2.2,1.0
11,-0.5,0.8,0.1,0.3,0.6,-0.4,-0.1,0.3,0.7,2.8,3.3,3.5,4.1,4.0,4.3,4.0,4.5,1.8,2.3,0.6,-0.1,-0.6,0.5,0.5,-2.0,0.4,0.5,-0.6,-0.8,-0.3,-0.4,-1.4,0.6,-1.2,-0.4,-0.2,-1.4,0.5,1.1,-0.6,1.0
12,-0.2,-0.3,-0.5,2.1,-1.3,0.9,2.2,2.1,2.0,3.5,4.0,5.1,5.1,2.5,4.9,1.9,2.2,1.2,-0.1,0.6,0.0,0.0,-0.8,-1.3,1.1,0.5,0.7,0.3,-1.2,-0.7,-0.4,-0.5,0.1,0.6,-0.6,0.4,0.2,-0.2,1.3,1.9,1.0
13,0.6,1.7,-0.8,0.4,0.4,0.5,0.9,1.7,1.6,2.3,5.7,5.6,4.2,3.6,3.5,2.3,1.7,2.6,1.9,-0.5,-2.0,-0.5,0.5,0.2,2.3,-0.5,0.2,-0.1,-0.6,-0.6,1.0,-1.0,-1.7,-0.1,0.4,-0.3,-1.7,-0.7,1.5,2.1,1.0
14,-1.1,-1.3,-0.9,0.8,-0.4,-0.4,1.0,1.4,1.6,3.0,4.7,3.7,2.5,4.7,5.1,2.9,3.2,1.8,2.2,1.6,0.5,-1.2,-0.7,-0.1,-1.0,0.7,0.1,-0.6,-0.3,-1.4,1.2,1.8,0.0,-2.6,-1.9,0.6,0.8,0.4,1.6,-1.0,1.0
15,1.9,1.3,1.3,1.6,2.6,2.8,3.8,4.9,4.3,3.6,5.6,3.2,1.0,0.0,0.5,2.3,-0.7,1.6,0.5,-1.9,-1.3,-1.4,1.8,-0.8,1.0,1.2,-1.6,1.2,1.6,-0.4,-1.1,-1.2,-0.5,0.8,-2.2,0.1,-1.0,-0.4,1.1,-1.5,1.0
16,0.2,1.0,-0.2,0.7,1.6,1.8,1.7,2.2,2.9,2.8,1.6,3.0,3.1,3.3,4.3,3.0,1.7,1.7,0.5,1.8,2.4,-0.7,0.6,-0.2,0.1,0.9,0.2,0.2,-0.7,-1.1,1.0,-0.4,-0.1,-1.7,-1.1,0.7,-0.1,-2.0,-0.9,0.4,0.0
17,0.3,-1.4,-1.4,2.9,0.6,2.0,1.1,1.3,2.0,5.6,6.2,5.7,3.1,3.3,1.2,0.1,-0.5,1.3,-1.9,1.3,0.0,-0.5,-0.2,0.5,0.5,0.1,0.6,-0.9,0.3,-0.5,0.6,0.9,-1.1,1.0,0.8,1.1,1.5,1.1,1.6,1.3,1.0
18,0.5,0.1,0.1,0.5,2.7,2.3,2.6,0.4,1.7,1.6,1.7,1.5,2.8,3.3,4.3,2.1,1.6,0.5,0.5,0.3,1.8,-0.3,0.3,-1.2,-2.2,-0.9,0.5,1.2,-1.3,-0.3,0.6,-0.2,1.0,0.7,0.6,-1.1,-0.2,-1.5,-1.4,-0.7,0.0
19,-0.5,2.5,-0.2,3.8,3.0,2.5,4.8,4.5,3.0,2.2,1.5,2.2,1.4,1.7,1.8,1.6,1.0,1.7,0.5,-1.6,-1.1,0.3,-0.1,-1.1,1.2,0.0,-0.1,-1.8,0.0,0.6,0.6,0.1,1.5,0.0,1.1,0.6,-0.6,-0.6,-0.7,0.8,0.0
20,-1.2,1.8,1.6,0.7,-0.6,-1.5,0.8,2.2,3.2,1.4,5.4,4.8,6.0,5.2,4.9,3.0,2.5,2.3,-0.3,1.7,0.3,0.3,-0.8,0.8,-0.3,1.2,1.2,0.7,0.4,-0.7,0.7,1.2,-0.4,0.5,-0.2,0.9,0.0,0.4,1.0,0.7,1.0
21,0.7,0.0,1.6,1.4,4.5,5.8,5.7,3.7,2.1,3.7,2.6,0.0,0.3,-1.7,-0.8,1.1,-0.6,0.1,0.2,0.6,1.2,1.2,0.8,-1.2,0.7,-0.1,-0.2,0.0,-0.2,-0.6,0.7,-0.3,1.6,2.5,0.0,-0.5,0.1,-0.8,0.2,-0.6,1.0
22,1.0,1.6,1.0,2.2,1.4,3.3,3.2,4.3,4.6,4.4,4.1,3.3,0.6,-0.4,1.2,0.1,-0.7,1.0,1.5,2.0,-0.2,1.6,-1.5,-0.4,1.3,-1.2,-0.7,-0.4,0.5,-1.8,0.0,-0.1,1.6,0.2,-1.3,0.8,-0.7,0.1,-0.6,0.2,1.0
23,0.1,-0.2,-0.2,0.0,0.9,2.3,1.8,3.1,3.4,3.0,5.3,5.8,5.7,5.4,2.2,1.1,0.7,1.2,1.4,0.2,0.0,0.2,-0.6,2.1,0.4,-1.8,0.5,-0.3,1.1,-0.8,1.3,0.6,-2.1,-0.7,-0.8,1.7,-0.7,0.8,-0.6,0.2,1.0
24,-0.8,-1.0,1.1,1.3,3.5,5.8,5.4,4.0,5.1,1.8,0.9,2.0,0.5,0.0,1.9,-0.1,2.0,-1.3,0.4,0.9,-1.1,0.4,1.5,0.5,-1.0,0.3,1.5,0.6,1.5,-0.6,1.2,-0.9,0.2,0.0,0.9,-0.4,1.0,0.0,0.9,1.1,0.0
25,1.6,1.7,2.2,0.4,0.4,2.9,4.6,2.0,1.1,0.8,1.8,2.8,1.5,1.9,2.7,1.7,2.3,2.0,1.7,1.5,-0.1,-1.2,1.9,-0.9,0.6,1.2,-0.4,0.3,0.2,0.5,-0.2,0.0,0.0,-0.2,0.3,0.3,-1.9,-2.5,-0.7,1.7,0.0
26,1.9,-0.1,1.0,-0.5,1.4,-0.8,0.5,0.3,1.3,1.7,2.8,3.1,5.1,5.6,3.8,5.3,3.7,2.2,2.5,1.6,0.9,-0.4,0.9,0.8,0.9,-0.5,-0.7,0.2,0.6,-1.0,0.9,0.4,-1.1,-1.2,-0.6,-1.2,0.0,-1.8,0.3,-2.1,1.0
27,-1.1,-0.6,1.2,0.5,0.8,3.1,4.3,4.1,5.4,4.0,5.3,3.4,2.6,1.6,1.5,0.6,0.1,0.4,-1.7,0.8,1.1,-2.3,0.0,-1.1,0.3,-2.4,1.2,1.7,-0.9,0.3,-0.5,1.3,0.2,0.1,0.9,1.6,-1.1,-0.2,0.1,-2.0,1.0
28,-1.5,-1.0,-0.5,0.3,0.9,1.1,0.1,0.4,2.4,2.8,3.6,3.6,3.1,1.7,4.1,1.4,3.9,2.8,1.4,-0.2,-1.3,0.7,0.2,0.4,-0.5,0.3,1.7,0.2,0.0,0.8,0.2,-0.3,1.2,1.1,0.5,0.4,-1.4,0.5,0.8,-0.8,1.0
29,0.8,-1.3,0.5,-0.4,0.9,2.2,0.8,2.0,0.1,3.2,2.1,3.0,2.6,4.0,3.3,5.0,2.3,1.1,1.7,-0.5,0.5,-1.3,-0.5,-0.9,0.9,-0.6,-0.8,2.3,-0.1,-0.5,0.9,-0.1,-1.2,0.1,-2.3,1.1,-0.1,-0.4,1.4,1.0,0.0
30,-1.5,0.1,-0.3,0.6,-0.8,0.6,1.7,1.5,4.1,4.1,5.0,5.3,2.8,4.8,4.2,3.4,1.8,1.7,0.9,0.7,-0.8,-1.6,0.8,-2.2,-1.6,-0.3,0.2,-0.9,-0.8,0.5,-2.2,0.4,1.3,-0.1,-1.7,-1.7,-2.3,0.8,-0.7,-1.3,1.0
31,-1.0,1.1,0.7,-0.1,-0.2,2.0,0.4,-2.0,0.5,2.1,1.0,2.1,4.1,4.6,4.2,6.0,3.6,2.8,3.5,-0.4,0.6,-1.0,1.5,0.3,0.2,-0.6,0.7,1.3,-0.9,-0.2,0.1,-1.2,1.1,-1.3,0.9,-2.1,0.5,-1.5,0.4,0.7,0.0
32,-1.4,-0.9,-0.5,2.0,2.1,3.6,6.3,3.3,5.1,4.9,3.3,1.2,0.6,0.9,3.0,-0.9,0.1,-0.7,-1.2,2.0,-0.7,-0.4,0.1,0.6,-0.7,1.0,0.3,0.1,-1.1,0.0,-0.5,0.2,-0.5,-0.5,-0.9,-0.7,-1.7,-0.1,-0.2,0.9,1.0
33,-0.7,0.8,-0.4,2.8,1.4,2.8,1.1,1.2,2.5,1.3,0.6,2.3,3.7,4.0,3.4,3.1,1.6,1.8,0.7,-1.3,-0.5,0.2,-2.2,0.7,0.1,1.2,0.4,-1.7,-1.3,-0.7,-0.6,0.4,-0.6,-0.7,-0.5,-0.6,0.0,1.5,0.7,0.9,0.0
34,-0.4,0.3,2.7,3.0,1.9,3.8,3.1,3.6,5.4,4.8,3.7,2.3,1.1,3.0,-0.1,0.8,0.8,1.1,1.4,-0.3,-0.2,0.2,-0.4,0.4,-0.9,-0.3,1.3,0.8,-0.8,0.2,-0.5,0.4,-1.4,1.1,-0.3,0.3,-0.2,0.2,0.1,-0.4,1.0
35,0.6,1.0,0.8,3.1,1.9,1.9,3.9,2.0,2.2,0.4,2.8,0.5,2.8,1.5,2.0,2.8,3.0,2.3,1.0,1.6,-0.6,-0.7,0.0,-1.2,-2.1,0.8,-0.4,2.4,-0.8,0.2,-0.4,-0.1,-1.2,0.4,2.1,-1.7,-0.2,0.6,-0.8,-1.3,0.0
36,0.3,-0.4,0.6,0.6,2.1,1.4,2.7,2.0,2.1,1.4,1.9,2.5,3.2,2.4,1.8,3.5,2.2,1.3,2.1,1.3,1.0,-1.6,0.4,0.9,0.8,0.8,-0.2,1.0,0.2,-1.3,0.0,1.7,-0.4,-1.1,0.5,1.0,0.9,1.9,-0.1,-0.9,0.0
37,-0.3,-1.3,-0.5,-0.8,0.1,0.1,-1.0,2.9,0.7,1.9,1.9,4.3,5.2,3.1,3.3,0.5,2.0,1.4,1.9,1.6,0.8,-0.1,1.4,-1.4,-1.2,1.2,-0.4,1.2,-1.4,-0.4,1.1,1.4,0.0,-1.3,-1.7,0.3,1.7,0.3,-1.3,0.6,1.0
38,-0.5,0.1,2.0,-2.0,0.5,0.9,3.7,3.8,1.7,5.4,6.6,4.5,4.7,1.7,2.7,0.2,1.0,0.8,1.0,-0.8,0.2,-1.1,1.1,2.3,-2.6,-0.8,-0.3,0.3,-0.8,0.5,1.1,2.2,-1.7,1.5,-0.3,-0.1,0.6,-0.2,0.3,-0.1,1.0
39,-0.9,0.5,1.6,1.0,3.9,4.6,3.2,4.6,3.9,3.7,4.0,4.1,1.6,-0.1,0.2,0.4,-0.5,1.5,-0.5,0.4,0.7,0.6,1.5,1.2,0.4,-0.6,0.1,-0.2,0.4,-0.9,-1.1,1.1,-0.2,-1.3,-0.2,0.0,1.0,-0.4,-1.2,0.0,1.0
40,-0.2,0.9,0.6,1.0,1.4,-0.3,1.2,0.6,0.6,1.3,1.4,2.8,2.4,3.1,5.2,4.2,4.6,0.8,0.1,1.5,-0.9,-0.5,0.2,-1.7,-1.2,-0.6,0.3,0.6,-1.7,0.9,0.8,-1.0,-1.0,-1.3,-1.1,0.0,0.6,-0.3,-1.4,0.3,0.0
41,0.2,0.6,0.2,0.8,1.0,1.3,2.7,4.0,5.5,6.7,4.2,4.4,1.8,3.0,1.6,0.1,-0.6,0.5,0.4,-0.9,-0.2,-0.1,-1.8,-1.0,0.4,-0.2,-0.4,-0.9,0.5,2.0,0.3,-0.7,-0.1,1.2,1.4,0.3,0.7,2.0,0.2,1.0,1.0
42,0.5,-0.6,0.9,-0.5,1.9,1.5,3.0,4.3,4.8,4.2,6.9,4.8,2.0,3.2,1.7,0.2,-1.6,-0.3,-1.2,0.1,-1.6,-1.0,1.5,0.8,-1.1,1.0,0.6,-0.3,0.1,0.4,-0.6,0.1,-2.2,-0.1,-0.5,0.5,-0.5,-0.2,-0.6,-0.1,1.0
43,-0.4,0.0,-0.7,-1.5,0.2,-0.5,1.8,2.8,3.3,6.1,3.5,3.2,3.4,3.9,2.0,0.4,-0.5,0.1,-1.9,0.8,1.1,0.8,-0.3,0.2,-0.7,0.7,-0.7,-1.4,-0.3,-1.9,0.7,0.0,0.0,-1.1,0.0,-1.4,-1.5,0.7,-2.1,-0.5,1.0
44,0.8,0.0,0.0,0.1,-1.4,1.7,-0.9,2.0,1.1,3.2,3.5,3.8,6.0,3.6,2.4,4.1,1.7,4.1,0.5,1.7,-0.3,-0.8,0.2,-0.1,-0.1,-1.4,-0.9,0.2,2.2,-0.5,-0.6,1.4,1.1,-0.4,-0.5,1.6,-1.4,-1.5,0.3,-1.1,1.0
45,-1.0,-1.1,0.2,2.3,1.7,2.2,2.1,3.9,2.2,2.9,1.3,3.0,1.6,3.7,4.1,2.5,2.7,1.5,2.2,1.7,-2.1,-0.1,-0.4,1.8,-0.7,-0.2,0.3,2.1,0.8,0.1,-0.3,-0.8,-0.4,0.4,-0.5,1.4,-1.2,0.9,-0.7,0.2,0.0
46,1.2,-0.2,0.4,0.4,-0.4,0.7,2.9,1.0,-0.6,2.4,2.6,3.9,2.5,2.7,4.8,3.4,3.0,2.3,3.0,1.4,0.2,0.3,-0.2,1.1,1.8,0.2,0.5,-0.6,-1.1,0.6,-1.2,0.6,-0.5,1.0,0.9,0.1,0.9,-0.4,0.2,0.1,0.0
47,-1.1,0.8,3.0,2.0,1.6,1.2,1.7,1.2,3.4,2.1,4.1,2.6,5.8,4.7,3.9,4.6,3.3,1.8,0.7,0.1,1.8,0.4,-1.0,1.5,1.4,1.5,-1.6,-0.8,1.8,-1.0,-0.1,0.8,-0.2,0.1,-0.3,-0.1,-0.5,-0.2,-2.0,1.1,0.0
48,0.8,-0.7,-1.8,1.1,0.4,0.5,2.0,2.3,2.9,5.5,5.9,6.6,3.4,3.0,2.1,2.3,0.2,-1.4,0.3,-0.4,-0.7,0.8,-0.6,0.2,-1.2,0.8,1.8,-1.4,0.8,-1.1,-0.7,0.4,1.4,-1.9,0.2,0.6,-1.6,0.1,0.3,-0.2,1.0
49,1.3,0.0,-1.1,0.7,-1.6,0.6,0.9,0.6,2.1,2.6,2.6,2.5,3.7,3.8,4.2,2.6,3.6,1.5,0.1,0.3,-0.4,-0.9,-0.1,-0.7,-1.4,0.1,-0.2,-0.4,-1.0,-1.5,-0.2,-0.4,0.3,0.4,-1.1,0.4,-1.4,-0.9,1.6,0.1,1.0
50,-0.6,-2.2,0.7,-0.7,-0.4,0.6,1.6,4.6,2.8,2.7,6.1,4.8,3.5,3.0,0.5,0.1,0.3,-1.5,1.0,-2.3,0.8,-0.7,-1.4,0.5,-0.4,0.5,1.9,-1.7,-0.2,1.9,0.3,-0.4,-2.6,-0.5,0.4,0.7,0.5,1.7,1.1,1.0,1.0
51,0.3,-1.2,0.2,-0.9,0.2,1.1,1.5,1.6,3.8,5.1,5.5,5.5,5.3,3.6,2.5,-0.7,0.9,1.4,-0.3,0.9,-0.9,0.8,-0.8,-0.7,-1.5,0.6,0.5,-0.2,0.8,-0.6,-0.8,-1.1,1.4,0.9,-0.5,-0.1,0.1,0.0,-0.9,-0.2,1.0
52,2.6,0.6,0.9,0.8,0.5,1.2,1.0,1.9,3.5,4.5,5.6,4.1,3.8,3.1,0.9,1.4,-0.6,-0.7,1.4,-0.6,0.2,-0.9,-0.9,1.4,-1.2,1.9,0.5,1.4,-2.6,-0.9,0.4,0.4,0.0,1.3,-0.2,1.1,1.2,-0.2,-1.6,-0.1,1.0
53,0.5,0.8,0.9,0.1,2.0,3.0,4.0,2.4,2.3,5.2,5.7,5.5,2.8,3.7,1.3,0.2,1.1,-0.9,0.7,0.3,1.0,-0.2,-0.1,-0.6,0.2,-0.5,0.9,0.0,-1.0,-1.8,-0.9,0.4,-0.2,-0.2,1.0,-1.0,0.0,2.0,0.0,-1.3,1.0
54,0.6,0.3,-0.6,-0.4,-0.2,-0.3,-0.1,0.5,1.0,3.5,6.8,4.1,5.5,4.2,4.5,4.6,4.2,1.2,1.8,1.6,0.8,0.8,-0.6,-2.7,0.3,-0.9,0.4,1.5,-0.1,-0.8,0.7,-0.6,-0.9,0.3,0.4,0.9,-0.3,0.6,1.6,0.0,1.0
55,-0.1,1.6,0.9,-0.1,0.9,4.1,4.6,4.2,4.2,5.1,5.3,4.0,3.4,2.3,-0.8,1.2,0.1,-0.1,0.2,0.1,0.7,0.2,-0.1,-0.8,1.0,-1.1,0.4,-0.2,2.2,0.0,-0.2,0.2,1.1,1.0,0.7,1.8,0.6,0.2,-0.3,0.0,1.0
56,-0.1,1.2,0.9,4.5,3.5,4.4,6.3,4.0,5.2,2.4,1.5,1.9,-0.1,-1.2,0.2,1.0,-0.1,-0.1,-1.3,0.3,0.3,0.2,0.4,0.9,-0.5,-0.2,0.5,0.6,0.3,0.3,0.1,0.0,2.7,0.8,0.4,0.4,1.1,1.0,1.9,-1.5,0.0
57,0.8,0.9,-0.8,1.5,-1.9,0.0,1.3,3.1,5.4,3.9,4.6,3.8,4.4,2.1,2.2,1.4,-1.9,-1.0,-1.2,0.3,1.2,0.8,-1.2,-1.0,-0.8,-2.0,2.4,0.6,1.5,0.5,0.9,-0.5,0.4,0.8,-1.2,1.3,0.4,0.4,0.6,1.4,1.0
58,0.0,0.1,0.9,1.9,2.9,3.6,3.7,4.7,3.8,0.7,3.2,0.2,1.1,3.1,2.2,2.5,2.1,1.8,0.3,1.1,0.6,2.1,-0.4,-0.8,0.5,0.6,-0.8,2.6,-1.0,0.0,-1.4,-0.4,-0.2,1.2,0.2,-0.5,-1.7,0.3,-1.4,-0.8,0.0
59,-0.4,0.7,2.2,2.3,1.6,3.2,4.4,5.1,4.5,2.2,1.2,-0.1,-0.9,-0.9,0.8,1.7,-1.4,0.6,-0.6,-0.7,-0.4,1.3,0.8,-1.2,0.9,1.0,0.9,-0.7,-1.6,0.6,0.6,0.7,0.2,0.8,0.6,-0.3,-1.1,-1.2,1.0,0.5,0.0
60,-1.5,0.4,2.4,2.5,1.9,3.7,4.7,3.9,5.4,4.0,3.6,1.5,0.5,1.5,-0.1,-1.0,-1.6,-0.2,-0.1,-1.2,-0.3,-0.2,1.2,-0.4,-0.3,1.2,0.2,0.9,0.4,-0.3,0.2,1.6,-2.2,0.7,-1.3,0.4,-0.2,-0.3,0.6,-2.2,1.0
61,1.4,1.3,1.5,2.8,1.1,2.1,3.0,3.1,2.5,4.6,4.8,2.9,3.6,1.7,2.2,-0.3,1.6,1.9,-1.2,-0.4,0.3,0.1,0.2,-1.0,-0.4,0.6,0.7,1.2,0.5,-0.7,-0.2,-0.8,0.5,0.2,2.0,0.1,-1.1,0.0,1.0,-0.8,1.0
62,0.3,0.7,0.6,0.5,0.5,-1.7,-0.6,1.6,0.9,3.2,4.5,4.6,4.1,4.8,4.4,4.6,2.4,3.3,0.3,1.4,0.1,1.1,-1.6,-1.3,-0.1,2.1,-1.8,-1.0,0.8,0.0,0.8,-0.2,-1.2,0.5,1.4,-1.3,-0.6,1.9,0.8,1.9,1.0
63,0.2,1.5,1.3,1.8,4.0,3.6,6.9,3.6,3.3,2.5,3.3,1.5,0.8,0.5,0.8,-0.7,1.6,-0.6,-1.5,-0.3,1.7,-1.9,-0.2,0.4,-0.3,-0.3,0.7,-0.2,-1.1,-0.1,-1.1,0.3,-0.9,-0.8,1.4,-1.1,-2.1,0.1,0.1,1.4,1.0
64,-1.4,0.1,0.2,1.1,0.3,1.0,-0.8,1.8,-0.6,1.1,1.4,3.5,2.9,3.6,6.0,6.4,3.0,3.3,2.2,-0.8,-0.4,-0.7,0.0,-0.8,-1.0,-0.1,1.3,0.7,0.7,0.4,-1.1,-0.3,0.0,1.9,-0.6,-0.3,0.5,1.6,-0.5,-0.2,1.0
65,0.6,1.8,2.3,2.6,0.9,4.3,4.8,3.1,5.0,1.3,4.3,1.1,1.0,2.3,3.1,1.7,1.7,1.5,-0.3,-0.2,-0.8,0.2,-1.1,0.1,-0.2,1.6,0.8,-2.1,1.7,1.0,0.9,-0.4,1.4,-1.7,0.9,0.0,1.6,-0.7,-0.3,0.0,0.0
66,0.0,-0.6,0.5,0.6,-0.7,2.1,2.8,2.9,3.7,6.1,6.2,4.1,3.9,2.2,2.1,0.0,-0.3,0.6,-0.1,-0.3,1.5,1.0,0.0,0.0,1.0,-0.5,0.1,-0.7,-0.8,0.2,-0.3,0.1,-2.0,-1.9,-0.4,0.3,0.0,1.5,0.5,-0.4,1.0
67,0.6,1.2,0.4,0.1,2.1,2.0,3.0,1.5,1.7,1.4,-0.1,2.3,1.3,2.8,4.9,3.2,1.4,2.2,1.5,1.6,-0.6,-0.4,0.6,1.3,0.1,-0.4,0.6,1.0,0.6,0.5,-0.6,-0.6,0.4,0.4,0.1,2.2,0.1,-0.4,-1.5,0.2,0.0
68,0.2,0.0,0.6,-0.4,0.6,2.2,3.3,3.3,3.0,5.4,3.2,3.8,3.1,1.0,0.3,1.9,0.1,0.8,-0.3,1.7,1.8,-0.7,-0.8,0.9,0.6,0.3,0.3,-1.9,1.6,1.1,0.0,1.1,1.1,-0.6,-1.0,1.5,1.8,0.9,0.0,-0.3,1.0
69,0.4,-0.3,-0.8,-1.2,-1.6,1.6,-0.4,1.2,-0.5,1.8,2.4,2.5,3.9,3.9,4.3,4.6,1.4,2.6,0.1,1.4,0.1,2.1,-0.1,1.5,-0.6,-0.8,1.2,0.3,-1.1,0.5,-1.7,-0.4,-1.8,-0.3,0.7,0.7,-1.0,0.7,0.0,0.7,1.0
70,-1.7,0.6,-0.7,0.2,1.1,1.6,3.1,2.5,3.6,6.0,5.8,2.2,2.1,3.9,1.2,0.8,-0.4,1.9,0.4,-1.8,0.5,-0.1,-1.4,1.0,-0.3,0.8,0.5,-1.1,0.7,-2.3,-1.0,-1.2,0.2,0.8,-0.4,0.0,1.2,0.8,2.0,-0.7,1.0
71,1.8,-1.5,1.8,0.6,1.5,1.4,3.0,3.0,3.0,3.3,6.0,4.0,3.1,2.9,1.1,0.4,-0.4,-1.0,-0.1,-0.2,1.0,-0.8,-0.3,2.4,0.4,-0.3,-1.1,-0.4,1.1,0.2,-0.1,-0.7,1.0,1.1,1.9,0.2,1.0,-0.4,0.3,1.0,1.0
72,-0.3,-2.4,1.1,1.6,1.6,3.6,4.6,3.6,1.4,3.7,2.5,1.0,0.9,0.4,0.7,1.6,1.8,1.1,1.9,2.0,-0.9,-0.5,-0.9,0.7,-0.1,-1.4,1.6,-1.3,2.0,-0.4,1.5,1.7,-0.3,0.1,-0.9,-0.4,-0.5,0.5,-0.4,1.0,0.0
73,-0.2,-2.0,0.0,0.6,-0.1,1.1,-0.1,2.2,2.3,1.4,3.0,5.3,4.3,4.6,6.7,3.2,4.4,0.9,-1.2,1.3,-1.1,-0.7,-1.4,-1.0,1.6,0.0,0.8,0.3,0.0,0.3,0.7,0.6,0.8,-0.5,-0.6,-0.3,-0.5,-0.4,-0.3,-1.0,1.0
74,0.9,2.1,2.7,2.3,5.4,3.8,5.5,3.4,6.3,1.4,2.6,1.8,0.7,0.3,1.2,-1.3,0.8,-0.1,1.6,-0.1,-1.4,0.6,-1.4,0.3,-0.9,-0.6,0.7,-0.8,-0.8,-0.7,-1.6,-0.4,0.8,1.3,0.1,0.8,-0.7,0.1,0.5,1.7,0.0
75,1.4,1.6,-0.7,2.3,1.9,2.0,2.1,2.5,3.8,2.9,5.0,3.3,2.6,2.5,0.8,2.1,-1.0,-1.4,-1.6,0.8,0.1,-1.1,0.3,0.0,0.5,-0.6,-0.3,-1.2,-0.2,0.4,0.5,2.2,0.2,-1.9,-0.7,-0.3,0.4,0.5,0.3,1.3,1.0
